                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.0263,                0.79116,                  1.202,                0.82729,                0.80211,                0.86668,                0.60464,                 1.0384,                0.84316,                 1.2444,             0.00083675,             0.00083675,             0.00083675
                     50,                0.99239,                0.78338,                 1.1926,                0.79388,                0.78246,                0.85055,                0.59657,                 1.0551,                0.92929,                 1.2491,               0.000812,               0.000812,               0.000812
                     51,                0.95116,                0.75919,                 1.1595,                0.90513,                0.75895,                0.86441,                0.61497,                 1.0281,                0.86019,                  1.237,             0.00078725,             0.00078725,             0.00078725
                     52,                0.96603,                0.76513,                  1.155,                0.87389,                0.80966,                0.89352,                 0.6288,                 1.0139,                0.83185,                  1.222,              0.0007625,              0.0007625,              0.0007625
                     53,                0.93716,                0.74261,                 1.1606,                0.87265,                0.77183,                0.87808,                0.61832,                 1.0518,                0.89926,                  1.267,             0.00073775,             0.00073775,             0.00073775
                     54,                0.99996,                0.75624,                 1.1946,                0.86214,                0.79684,                0.87648,                0.61177,                 1.0495,                0.84578,                 1.2627,               0.000713,               0.000713,               0.000713
                     55,                0.96212,                0.74768,                 1.1666,                 0.8773,                0.77521,                0.87036,                0.62157,                 1.0069,                0.90567,                 1.2287,             0.00068825,             0.00068825,             0.00068825
                     56,                0.96084,                0.74428,                 1.1545,                0.86792,                0.78856,                0.88434,                0.63011,                 1.0129,                 0.8275,                 1.2384,              0.0006635,              0.0006635,              0.0006635
                     57,                0.93619,                0.73205,                 1.1481,                 0.8729,                0.79789,                0.88646,                0.63506,                 1.0165,                0.81504,                 1.2325,             0.00063875,             0.00063875,             0.00063875
                     58,                0.94783,                0.73069,                  1.166,                0.87069,                0.77474,                 0.8819,                0.63943,                0.96195,                0.80736,                 1.1879,               0.000614,               0.000614,               0.000614
                     59,                0.90845,                0.68562,                 1.1397,                0.88619,                0.80327,                0.89022,                0.63324,                  1.008,                0.80731,                 1.2298,             0.00058925,             0.00058925,             0.00058925
                     60,                0.93838,                0.71271,                 1.1617,                0.86816,                0.81101,                0.88946,                0.62333,                0.99923,                 0.7812,                 1.2413,              0.0005645,              0.0005645,              0.0005645
                     61,                0.90073,                 0.6867,                 1.1386,                0.88728,                0.78737,                0.87922,                 0.6275,                 1.0146,                0.84165,                 1.2542,             0.00053975,             0.00053975,             0.00053975
                     62,                0.89455,                 0.6726,                 1.1308,                0.89607,                0.81682,                0.89672,                0.63782,                 1.0087,                0.80457,                 1.2471,               0.000515,               0.000515,               0.000515
                     63,                0.90471,                0.67606,                 1.1392,                0.89764,                0.77579,                 0.8798,                0.60632,                 1.0715,                0.86033,                 1.3051,             0.00049025,             0.00049025,             0.00049025
                     64,                0.88917,                0.66717,                 1.1241,                0.89065,                0.75368,                0.88154,                 0.6293,                0.98449,                0.82961,                 1.2284,              0.0004655,              0.0004655,              0.0004655
                     65,                0.89413,                 0.6682,                 1.1186,                0.89397,                0.79895,                0.88852,                0.63081,                 1.0396,                0.76463,                 1.2543,             0.00044075,             0.00044075,             0.00044075
                     66,                0.87871,                 0.6594,                 1.1177,                 0.8722,                0.76316,                 0.8752,                 0.6277,                 1.0246,                0.85691,                  1.254,               0.000416,               0.000416,               0.000416
                     67,                0.85544,                0.63235,                 1.0887,                0.89899,                0.79263,                0.88875,                0.63182,                  1.032,                0.78118,                 1.2498,             0.00039125,             0.00039125,             0.00039125
                     68,                0.85933,                0.63022,                 1.1093,                 0.8825,                0.80644,                0.89166,                0.65137,                0.97209,                0.74455,                 1.2082,              0.0003665,              0.0003665,              0.0003665
                     69,                0.86978,                0.62596,                 1.1036,                0.89227,                0.78211,                0.88295,                0.62257,                 1.0507,                0.83494,                 1.2627,             0.00034175,             0.00034175,             0.00034175
                     70,                0.84163,                 0.5979,                 1.0992,                0.89165,                0.79895,                   0.89,                0.62842,                 1.0478,                0.81107,                 1.2661,               0.000317,               0.000317,               0.000317
                     71,                0.78591,                0.50977,                 1.0626,                0.87981,                0.80909,                0.88449,                0.63521,                 1.0052,                0.81549,                 1.2477,             0.00029225,             0.00029225,             0.00029225
                     72,                0.78099,                0.49028,                 1.0519,                0.86323,                0.79263,                0.88649,                0.64019,                0.98724,                 0.7697,                 1.2334,              0.0002675,              0.0002675,              0.0002675
                     73,                0.76209,                0.48963,                  1.037,                0.84999,                0.80316,                 0.8835,                0.63756,                0.98284,                0.80842,                 1.2329,             0.00024275,             0.00024275,             0.00024275
                     74,                0.74876,                0.46874,                 1.0298,                0.86695,                0.80933,                0.88271,                  0.635,                   1.01,                0.80841,                 1.2645,               0.000218,               0.000218,               0.000218
                     75,                0.75444,                0.47607,                 1.0348,                0.86927,                0.78105,                0.87972,                0.64216,                0.98179,                0.83169,                 1.2429,             0.00019325,             0.00019325,             0.00019325
                     76,                0.73771,                0.46127,                 1.0283,                0.86209,                0.79789,                0.88626,                0.64993,                0.97831,                0.81869,                 1.2318,              0.0001685,              0.0001685,              0.0001685
                     77,                0.72293,                0.44233,                 1.0044,                0.87151,                0.79368,                0.88486,                0.64531,                0.97458,                0.80682,                 1.2316,             0.00014375,             0.00014375,             0.00014375
                     78,                0.70837,                0.43255,                 1.0045,                0.87084,                0.80947,                0.88686,                0.65076,                0.96943,                0.78383,                 1.2253,               0.000119,               0.000119,               0.000119
                     79,                0.70564,                 0.4307,                 1.0002,                 0.8831,                0.80211,                0.89366,                0.65716,                0.96019,                0.76289,                 1.2126,              9.425e-05,              9.425e-05,              9.425e-05
                     80,                0.69584,                0.42559,                0.99257,                0.87153,                0.81407,                0.89308,                0.65214,                0.97956,                0.78018,                 1.2306,               6.95e-05,               6.95e-05,               6.95e-05
